rank,db,smiles,canon,component,n_atoms,est_cost_h,is_validation
995,PI1M,CCCC(C)(CCCOc1ccc(C#Cc2ccc(S#N)cc2)cc1)COC,CCCC(C)(CCCOc1ccc(C#Cc2ccc(S#N)cc2)cc1)COC,dopt,57.0,3.0777004384750812,False
996,PI1M,CCC(C)OC(=O)c1ccc(S#N)cc1,CCC(C)OC(=O)c1ccc(S#N)cc1,feature,28.0,0.4547556347186134,False
997,PI1M,CCCCCCCCCOC(=O)OCCCCCCOC(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)COC(=O)OC,CCCCCCCCCOC(=O)OCCCCCCOC(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)COC(=O)OC,coverage,86.0,9.30515942952161,False
998,PI1M,CN=P(C)(SCC(F)(F)C(F)(F)Cl)[Si](C)(F)C(F)(F)F,CN=P(C)(SCC(F)(F)C(F)(F)Cl)[Si](C)(F)C(F)(F)F,feature,31.0,0.597979011686388,False
999,OMG,*OC1CN(C(=O)OC(C)(C)C)CC1OC(=O)c1cc(C=O)ccc1C(*)=O,COC1CN(C(=O)OC(C)(C)C)CC1OC(=O)c1cc(C=O)ccc1C(C)=O,coverage,53.0,2.5306091492877196,False
1000,OMG,*OC1C2OC(C)(C)OC2C(OC(=O)C2CC(C)C(C)CC2C(*)=O)C2OC(C)(C)OC12,COC1C2OC(C)(C)OC2C(OC(=O)C2CC(C)C(C)CC2C(C)=O)C2OC(C)(C)OC12,coverage,70.0,5.348558032191515,False
1001,PI1M,CCC(COc1ccc(C(O)CN(PCC(C)C)c2ccc(C(C)(C)c3ccc(OC)cc3)cc2)cc1)Oc1ccc(/N=N/c2ccc(OC)cc2)cc1,CCC(COc1ccc(C(O)CN(PCC(C)C)c2ccc(C(C)(C)c3ccc(OC)cc3)cc2)cc1)Oc1ccc(/N=N/c2ccc(OC)cc2)cc1,dopt,108.0,17.172474767285724,False
1002,PI1M,C/C=C/C(C)=C(/C)C#[SH],C/C=C/C(C)=C(/C)C#[SH],feature,21.0,0.2097456137295212,False
1003,OMG,*Oc1c(Br)cc(Br)cc1C=NNC(=O)NN=Cc1cc(Br)cc(Br)c1OC(=O)C1C2CC(C(Br)C2Br)C1C(*)=O,COc1c(Br)cc(Br)cc1C=NNC(=O)NN=Cc1cc(Br)cc(Br)c1OC(=O)C1C2CC(C(Br)C2Br)C1C(C)=O,dopt,63.0,4.0285528241783775,False
1004,PI1M,Cc1ccc([Si](C)(C)[Si](C)Cl)cc1,Cc1ccc([Si](C)(C)[Si](C)Cl)cc1,feature,29.0,0.49977393112088747,False
1005,OMG,*OCc1ccc(SSc2ccc(COC(=O)C(CSSCC(NC(C)=O)C(*)=O)NC(C)=O)cc2)cc1,COCc1ccc(SSc2ccc(COC(=O)C(CSSCC(NC(C)=O)C(C)=O)NC(C)=O)cc2)cc1,coverage,70.0,5.348558032191515,False
1006,PI1M,COC(=O)OCCOC(=O)c1cccc(C(=O)OCCCCCCOc2ccc(OC(=O)c3ccc(C)cc3)cc2)c1,COC(=O)OCCOC(=O)c1cccc(C(=O)OCCCCCCOc2ccc(OC(=O)c3ccc(C)cc3)cc2)c1,coverage,76.0,6.672852850107062,False
1007,PI1M,CCc1ccc(Cc2ccc(N=C)cc2OC)cc1,C=Nc1ccc(Cc2ccc(CC)cc2)c(OC)c1,coverage,38.0,1.0340483823546922,False
1008,PI1M,CCCCCCCCOC(=O)CCCCCCC(=O)OCCCCCCOc1ccc(-c2ccc(OC)cc2)cc1,CCCCCCCCOC(=O)CCCCCCC(=O)OCCCCCCOc1ccc(-c2ccc(OC)cc2)cc1,random,93.0,11.48529398776902,True
1009,OMG,*Nc1ccc(OC(=O)c2ccc(C(=O)Oc3ccc(NC(=O)c4cnc(SC)nc4C(*)=O)cc3)cc2)cc1,CNc1ccc(OC(=O)c2ccc(C(=O)Oc3ccc(NC(=O)c4cnc(SC)nc4C(C)=O)cc3)cc2)cc1,random,64.0,4.202881203832011,True
1010,PI1M,COc1ccc(C(=O)CCCCC(=O)c2ccc(C)cc2)c(C(=O)OCCCCCCCCCCCC)c1,CCCCCCCCCCCCOC(=O)c1cc(OC)ccc1C(=O)CCCCC(=O)c1ccc(C)cc1,random,84.0,8.734423876530629,True
1011,OMG,*OC(OC(=O)C(CSSCC(NC(=O)OCc1ccccc1)C(*)=O)NC(=O)OCc1ccccc1)C(=O)c1ccc(C)cc1,COC(OC(=O)C(CSSCC(NC(=O)OCc1ccccc1)C(C)=O)NC(=O)OCc1ccccc1)C(=O)c1ccc(C)cc1,random,82.0,8.18619805320074,True
1012,PI1M,CCC(F)(F)C(F)(F)COC(=O)CCCCCCC(=O)OC,CCC(F)(F)C(F)(F)COC(=O)CCCCCCC(=O)OC,coverage,44.0,1.5339481655863532,False
1013,OMG,*OC(OC(=O)C1(CC(*)=O)CCOCC1)C(Cl)(Cl)P(=O)(N1CCOCC1)N1CCOCC1,COC(OC(=O)C1(CC(C)=O)CCOCC1)C(Cl)(Cl)P(=O)(N1CCOCC1)N1CCOCC1,coverage,66.0,4.5655822516472835,False
1014,PI1M,CCC(C)(C)C(=O)OCCCCCCCCCCN(C)c1ccccc1,CCC(C)(C)C(=O)OCCCCCCCCCCN(C)c1ccccc1,coverage,65.0,4.381874289318153,False
1015,PI1M,CCCCCCCCCCCCCNC(=O)Nc1ccc(-c2ccc(NC(=O)OC)cc2)cc1,CCCCCCCCCCCCCNC(=O)Nc1ccc(-c2ccc(NC(=O)OC)cc2)cc1,coverage,75.0,6.439287015998562,False
1016,OMG,*OC(c1cccs1)(c1cccs1)C(OC(=O)c1cc(C(*)=O)cc(C)n1)(c1cccs1)c1cccs1,COC(c1cccs1)(c1cccs1)C(OC(=O)c1cc(C(C)=O)cc(C)n1)(c1cccs1)c1cccs1,dopt,60.0,3.533050524994261,False
1017,omics,*CC(*)c1ccc(OCCCCCC)nc1,CCCCCCOc1ccc(C(C)CC)cn1,random,42.0,1.3535165667832443,True
1018,PI1M,CCC(C)(C)C(=O)OCCCCOc1ccc(/C=N/c2ccc(C#N)cc2)cc1,CCC(C)(C)C(=O)OCCCCOc1ccc(/C=N/c2ccc(C#N)cc2)cc1,random,57.0,3.0777004384750812,True
1019,PI1M,COc1c(C)cc(Cc2cc(C)c(C)c(C)c2)cc1C,COc1c(C)cc(Cc2cc(C)c(C)c(C)c2)cc1C,coverage,44.0,1.5339481655863532,False
1020,PolyInfo,*CC(*)c1ccc(CC)cc1,CCc1ccc(C(C)CC)cc1,coverage,30.0,0.5474937425136082,False
1021,PI1M,COC(=O)Oc1ccc(C(C)(C)c2ccc(OC(=O)OCCCCCCCCOc3ccc(C(C)=O)cc3)cc2)cc1,COC(=O)Oc1ccc(C(C)(C)c2ccc(OC(=O)OCCCCCCCCOc3ccc(C(C)=O)cc3)cc2)cc1,coverage,82.0,8.18619805320074,False
1022,PI1M,CCCOCCOC(=O)c1ccc(NC(=O)CCCCCC(=S)NNC(=O)CC(C)CCC(=O)NC)cc1,CCCOCCOC(=O)c1ccc(NC(=O)CCCCCC(=S)NNC(=O)CC(C)CCC(=O)NC)cc1,random,80.0,7.66011076664799,True
1023,PolyInfo,*Oc1ccc(/N=N/c2ccc(S(=O)(=O)c3ccc(/N=N/c4ccc(OC(=O)c5ccc(/N=N/c6ccc(C(*)=O)cc6)cc5)cc4)cc3[N+](=O)[O-])c([N+](=O)[O-])c2)cc1,COc1ccc(/N=N/c2ccc(S(=O)(=O)c3ccc(/N=N/c4ccc(OC(=O)c5ccc(/N=N/c6ccc(C(C)=O)cc6)cc5)cc4)cc3[N+](=O)[O-])c([N+](=O)[O-])c2)cc1,dopt,87.0,9.599083603550964,False
1024,PI1M,COP(=O)(OCCOC)[Si](C)(C)c1ccc(C#N)cc1,COCCOP(=O)(OC)[Si](C)(C)c1ccc(C#N)cc1,dopt,40.0,1.187037287474881,False
1025,PI1M,C/C=C(/C)c1ccccc1CCCCCC,C/C=C(/C)c1ccccc1CCCCCC,coverage,40.0,1.187037287474881,False
1026,OMG,*OC(C)CC(C)OC(=O)C1C2OC(C3OC32)C1C(*)=O,COC(C)CC(C)OC(=O)C1C2OC(C3OC32)C1C(C)=O,coverage,43.0,1.4419597242422257,False
1027,PI1M,COC(=O)[Si](C)PC(=O)c1ccccc1,COC(=O)[Si](C)PC(=O)c1ccccc1,feature,27.0,0.41237422298650106,False
1028,PI1M,C/C=C/c1cc(C)c(C)cc1-c1ccccc1,C/C=C/c1cc(C)c(C)cc1-c1ccccc1,coverage,35.0,0.828831072009792,False
1029,PI1M,COc1ccc(CCC(C)=O)cc1C,COc1ccc(CCC(C)=O)cc1C,coverage,30.0,0.5474937425136082,False
1030,PI1M,CCCOCCCCOC(=O)CCc1ccc(CNC(=O)C(=O)NC)cc1,CCCOCCCCOC(=O)CCc1ccc(CNC(=O)C(=O)NC)cc1,random,57.0,3.0777004384750812,True
1031,omics,*CCCCCOC(=O)c1ccc(NC(=O)c2ccc(N3C(=O)c4ccc(*)cc4C3=O)cc2)cc1,CCCCCCOC(=O)c1ccc(NC(=O)c2ccc(N3C(=O)c4ccc(C)cc4C3=O)cc2)cc1,coverage,64.0,4.202881203832011,False
1032,PI1M,COc1c(C)cc(-c2cc(C)c(OC(C)=O)c(C)c2)cc1Cl,COc1c(C)cc(-c2cc(C)c(OC(C)=O)c(C)c2)cc1Cl,coverage,41.0,1.2685615949723126,False
1033,PI1M,COc1ccccc1C(=O)OCC(C)=O,COc1ccccc1C(=O)OCC(C)=O,coverage,27.0,0.41237422298650106,False
1034,OMG,*OC(CCl)C(CCl)OC(=O)c1ccc(-c2ccc(C(*)=O)c(F)c2)cc1F,COC(CCl)C(CCl)OC(=O)c1ccc(-c2ccc(C(C)=O)c(F)c2)cc1F,coverage,46.0,1.7287872538090088,False
1035,PI1M,CCCCCCOCCCCCCCCCCCCOC(=O)c1ccc(C(=O)OCCCCCOC(=O)CCCCCCCCC(=O)OC)cc1,CCCCCCOCCCCCCCCCCCCOC(=O)c1ccc(C(=O)OCCCCCOC(=O)CCCCCCCCC(=O)OC)cc1,random,121.0,23.313937656831943,True
1036,omics,*c1ncnc(N2C(=O)c3ccc(S(=O)(=O)c4ccc5c(c4)C(=O)N(*)C5=O)cc3C2=O)c1/N=N/c1ccccc1,Cc1ncnc(N2C(=O)c3ccc(S(=O)(=O)c4ccc5c(c4)C(=O)N(C)C5=O)cc3C2=O)c1/N=N/c1ccccc1,random,59.0,3.3768743086298603,True
1037,OMG,*OCC(C)(COC)COC(=O)C1C=C(C(*)=O)N=N1,COCC(C)(COC)COC(=O)C1C=C(C(C)=O)N=N1,coverage,40.0,1.187037287474881,False
1038,PI1M,CCCCCC(=O)Nc1ccc(NC(=O)CCCCCCCCN2C(=O)c3ccc(C)cc3C2=O)cc1,CCCCCC(=O)Nc1ccc(NC(=O)CCCCCCCCN2C(=O)c3ccc(C)cc3C2=O)cc1,coverage,76.0,6.672852850107062,False
1039,PI1M,CO[Si](C)(C)OCCCCCCCCCOc1ccc(C(C)(CCC)c2ccc(OC(=O)c3cccc(C(C)=O)c3)cc2)cc1,CCCC(C)(c1ccc(OCCCCCCCCCO[Si](C)(C)OC)cc1)c1ccc(OC(=O)c2cccc(C(C)=O)c2)cc1,random,97.0,12.862901673682583,True
1040,OMG,*OC(OC(=O)CCN(CCCC(*)=O)S(=O)(=O)c1ccc(C)cc1)C(=O)OC1CC(C)CCC1C(C)C,COC(OC(=O)CCN(CCCC(C)=O)S(=O)(=O)c1ccc(C)cc1)C(=O)OC1CC(C)CCC1C(C)C,coverage,81.0,7.920410401396693,False
1041,OMG,*Oc1c(F)cc(C(C)=O)cc1OC(=O)C1=CC(C)C=C(C(*)=O)O1,COc1c(F)cc(C(C)=O)cc1OC(=O)C1=CC(C)C=C(C(C)=O)O1,random,42.0,1.3535165667832443,True
1042,PI1M,CO[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)CCCOc1ccc(C)cc1,CO[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)CCCOc1ccc(C)cc1,coverage,108.0,17.172474767285724,False
1043,PI1M,CCC(C)S(=O)(=O)CCC,CCCS(=O)(=O)C(C)CC,coverage,26.0,0.372564345698904,False
1044,PI1M,COc1ccc(Oc2ccc(-c3ccc(Oc4ccc(C(=O)c5ccc(C)cc5)cc4)cc3)cc2)cc1-c1ccccc1,COc1ccc(Oc2ccc(-c3ccc(Oc4ccc(C(=O)c5ccc(C)cc5)cc4)cc3)cc2)cc1-c1ccccc1,coverage,73.0,5.987719929256527,False
1045,PI1M,CCCCCCCCCCCCCCCCCCCCC[PH](C)(CCCC)CCCCCCCCCCC,CCCCCCCCCCCCCCCCCCCCC[PH](C)(CCCC)CCCCCCCCCCC,random,117.0,21.298202540382935,True
1046,OMG,*OCC(OC(=O)C1NC(C(*)=O)CS1)C(C)=O,COCC(OC(=O)C1NC(C(C)=O)CS1)C(C)=O,coverage,35.0,0.828831072009792,False
1047,PI1M,CCCCCCCCCCCCCOc1ccc(-c2ccc(OCCCCCCOc3ccc(-c4ccc(OC)cc4C)cc3)cc2)cc1,CCCCCCCCCCCCCOc1ccc(-c2ccc(OCCCCCCOc3ccc(-c4ccc(OC)cc4C)cc3)cc2)cc1,coverage,109.0,17.603550241513325,False
1048,PI1M,CCC(CCl)(CBr)COC(=O)NCC[Si](C)(C)C,CCC(CCl)(CBr)COC(=O)NCC[Si](C)(C)C,random,43.0,1.4419597242422257,True
1049,OMG,*OC(c1cccs1)(c1cccs1)C(OC(=O)c1ccc(C=Nc2ccc(N=Cc3ccc(C(*)=O)cc3)cc2)cc1)(c1cccs1)c1cccs1,COC(c1cccs1)(c1cccs1)C(OC(=O)c1ccc(C=Nc2ccc(N=Cc3ccc(C(C)=O)cc3)cc2)cc1)(c1cccs1)c1cccs1,dopt,84.0,8.734423876530629,False
1050,PI1M,Cc1nc(C)c(Br)c(C(F)(F)I)c1F,Cc1nc(C)c(Br)c(C(F)(F)I)c1F,feature,20.0,0.1839474081746623,False
1051,OMG,*Nc1ccc2c3c(ccc(NC(=O)CN(CC(*)=O)S(=O)(=O)c4ccc(OC)cc4)c13)CC2,CNc1ccc2c3c(ccc(NC(=O)CN(CC(C)=O)S(=O)(=O)c4ccc(OC)cc4)c13)CC2,random,61.0,3.6936882750981668,True
1052,PI1M,CO[Si](C)(C)CCCOc1ccc(/N=N/c2ccccc2)cc1,CO[Si](C)(C)CCCOc1ccc(/N=N/c2ccccc2)cc1,coverage,47.0,1.8317500939966918,False
1053,PI1M,CCCCCCCC[SH](C)(C)C(=O)NC,CCCCCCCC[SH](C)(C)C(=O)NC,coverage,43.0,1.4419597242422257,False
1054,PI1M,CCC(OC)C(OC)C(=O)OC,CCC(OC)C(OC)C(=O)OC,coverage,28.0,0.4547556347186134,False
1055,OMG,*Nc1nnc(SSc2nnc(NC(=O)C34CCC(C(*)=O)(CC3=O)C(=O)C4)s2)s1,CNc1nnc(SSc2nnc(NC(=O)C34CCC(C(C)=O)(CC3=O)C(=O)C4)s2)s1,dopt,46.0,1.7287872538090088,False
1056,OMG,*NC(=N)NN=C1CCC(=NNC(=N)NC(=O)CC(SCC(C)C)C(*)=O)CC1,CNC(=N)NN=C1CCC(=NNC(=N)NC(=O)CC(SCC(C)C)C(C)=O)CC1,dopt,61.0,3.6936882750981668,False
1057,PI1M,CC[Si](C)(F)Cl,CC[Si](C)(F)Cl,feature,14.0,0.07047050774391327,False
1058,PI1M,CCC(CCl)(COC)COCCCCCCCC,CCCCCCCCOCC(CC)(CCl)COC,random,49.0,2.04904001620089,True
1059,PI1M,COc1cccc(NC(=O)c2cccc(C(=O)Nc3cccc(C(C)=O)c3)c2)c1,COc1cccc(NC(=O)c2cccc(C(=O)Nc3cccc(C(C)=O)c3)c2)c1,coverage,49.0,2.04904001620089,False
1060,PI1M,CC(=O)c1ccc(C(=O)N(C)CCCCCCCCCCCCCCCC)cc1,CCCCCCCCCCCCCCCCN(C)C(=O)c1ccc(C(C)=O)cc1,coverage,72.0,5.769622518212583,False
1061,PI1M,CCC(C)(CC(=O)OCCCCCCOc1ccc([N+](=O)[O-])cc1)c1ccc([N+](=O)[O-])cc1,CCC(C)(CC(=O)OCCCCCCOc1ccc([N+](=O)[O-])cc1)c1ccc([N+](=O)[O-])cc1,coverage,63.0,4.0285528241783775,False
1062,OMG,*OCC(COC(=O)C(Cc1ccc(Br)cc1F)C(*)=O)Cc1ccccc1F,COCC(COC(=O)C(Cc1ccc(Br)cc1F)C(C)=O)Cc1ccccc1F,random,52.0,2.404207673904035,True
1063,PI1M,CCC(C)(C)C(=O)OCCCCCCCCCCOc1ccc(F)cc1,CCC(C)(C)C(=O)OCCCCCCCCCCOc1ccc(F)cc1,coverage,61.0,3.6936882750981668,False
1064,OMG,*NNC(=O)C1CC1C(=O)NNC(=O)C(CCCC)(CCCC)C(*)=O,CCCCC(CCCC)(C(C)=O)C(=O)NNC(=O)C1CC1C(=O)NNC,random,58.0,3.2251081841016833,True
1065,PI1M,CCCCCCCCCCCCCCOC(=O)c1ccc(C(=O)OC)c(C(=O)OCCCCCCCCCC)c1,CCCCCCCCCCCCCCOC(=O)c1ccc(C(=O)OC)c(C(=O)OCCCCCCCCCC)c1,random,96.0,12.509288293103786,True
1066,PI1M,CCC(C)(C)C(=O)OCCCCCCN1CCN(C#N)CC(=O)N(c2ccc([N+](=O)[O-])cc2Br)C1,CCC(C)(C)C(=O)OCCCCCCN1CCN(C#N)CC(=O)N(c2ccc([N+](=O)[O-])cc2Br)C1,dopt,69.0,5.145493557044269,False
1067,PolyInfo,*NC(C=C)CC(*)=O,C=CC(CC(C)=O)NC,coverage,22.0,0.23770591902308572,False
1068,PI1M,CO[Si](C)(C)CCCCCCCCCCCCOc1ccc(Cl)cc1Cl,CO[Si](C)(C)CCCCCCCCCCCCOc1ccc(Cl)cc1Cl,coverage,62.0,3.858838735716932,False
1069,PI1M,CCC(C)C(=O)OC(C)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCC(C)C(=O)OC(C)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,coverage,41.0,1.2685615949723126,False
1070,PI1M,CCCCCOC(=O)C(CCCCCCCCCOc1ccccc1)C(=O)OC,CCCCCOC(=O)C(CCCCCCCCCOc1ccccc1)C(=O)OC,coverage,67.0,4.754055023099274,False
1071,PI1M,COC(=O)Nc1cccc(NC(=O)OCCCCCCCCCOC(C)=O)c1,COC(=O)Nc1cccc(NC(=O)OCCCCCCCCCOC(C)=O)c1,coverage,58.0,3.2251081841016833,False
1072,PI1M,CCCCCCCCCCCCCCCCCOc1ccc(/N=C/c2ccc(OC)c(OCCC)c2)cc1OC,CCCCCCCCCCCCCCCCCOc1ccc(/N=C/c2ccc(OC)c(OCCC)c2)cc1OC,coverage,95.0,12.161845525102757,False
1073,PI1M,CO[Si](C)(C)c1ccc(S(=O)(=O)c2ccccc2)cc1,CO[Si](C)(C)c1ccc(S(=O)(=O)c2ccccc2)cc1,coverage,38.0,1.0340483823546922,False
1074,PI1M,COc1ccc(NC(=O)c2cc(OCCCCCCCCCCCCCCCCCC)c(C(C)=O)cc2C)cc1C,CCCCCCCCCCCCCCCCCCOc1cc(C(=O)Nc2ccc(OC)c(C)c2)c(C)cc1C(C)=O,coverage,96.0,12.509288293103786,False
1075,PI1M,Cc1ccc(-c2ccc(N3C(=O)c4ccc(Oc5ccc6c(c5)C(=O)N(C)C6=O)cc4C3=O)c(C(F)(F)F)c2)cc1,Cc1ccc(-c2ccc(N3C(=O)c4ccc(Oc5ccc6c(c5)C(=O)N(C)C6=O)cc4C3=O)c(C(F)(F)F)c2)cc1,coverage,60.0,3.533050524994261,False
1076,PolyInfo,*CC(*)(C)C(=O)Oc1ccccc1C,CCC(C)(C)C(=O)Oc1ccccc1C,coverage,33.0,0.707498434008989,False
1077,PI1M,COc1ccc(-c2ccc(Oc3ccc(NC(=O)c4ccc(C(=O)Nc5ccc(C)cc5)cc4)cc3)cc2)cc1C,COc1ccc(-c2ccc(Oc3ccc(NC(=O)c4ccc(C(=O)Nc5ccc(C)cc5)cc4)cc3)cc2)cc1C,random,71.0,5.556584750444072,True
1078,OMG,*OC(CCCc1ccccc1)COC(=O)C(CC)(Cc1ccccc1)C(*)=O,CCC(Cc1ccccc1)(C(C)=O)C(=O)OCC(CCCc1ccccc1)OC,coverage,61.0,3.6936882750981668,False
1079,PI1M,CCCCCCNC(=O)C1CC(=C)C1C(=O)OCCCCCCCCCC,C=C1CC(C(=O)NCCCCCC)C1C(=O)OCCCCCCCCCC,random,68.0,4.947342301951497,True
1080,PI1M,COCC(O)COC(=O)c1ccccc1C(C)=O,COCC(O)COC(=O)c1ccccc1C(C)=O,coverage,34.0,0.7666572932453927,False
1081,PolyInfo,*CC(=O)NC(C)C(=O)O*,CCC(=O)NC(C)C(=O)OC,coverage,24.0,0.30039397989449834,False
1082,PolyInfo,*OC1CCC(OC(=O)NCCNC(*)=O)CC1,COC1CCC(OC(=O)NCCNC(C)=O)CC1,coverage,40.0,1.187037287474881,False
1083,PI1M,CNC(CC(C)=O)C(C)CC,CCC(C)C(CC(C)=O)NC,coverage,30.0,0.5474937425136082,False
1084,PI1M,CNc1c(C)cc(C(C)=O)cc1Cl,CNc1c(C)cc(C(C)=O)cc1Cl,coverage,25.0,0.33525989756051233,False
1085,PI1M,CO[Si](C)(C)CCCCCCCC(=O)Oc1ccc(C(=O)Oc2ccc(OC(=O)c3ccc(OCCCCCCCC)cc3)cc2)cc1,CCCCCCCCOc1ccc(C(=O)Oc2ccc(OC(=O)c3ccc(OC(=O)CCCCCCC[Si](C)(C)OC)cc3)cc2)cc1,coverage,100.0,13.96120758869343,False
1086,PI1M,CCC(C)CS(=O)(=O)Br,CCC(C)CS(=O)(=O)Br,feature,20.0,0.1839474081746623,False
1087,PI1M,CO[Si](C)(CCCCC)CCCCCCCCCCCC,CCCCCCCCCCCC[Si](C)(CCCCC)OC,coverage,63.0,4.0285528241783775,False
1088,OMG,*OC(COC(=O)C1CCC1C(*)=O)c1ccccc1Cl,COC(COC(=O)C1CCC1C(C)=O)c1ccccc1Cl,coverage,40.0,1.187037287474881,False
1089,OMG,*OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(CSSCC(NC(C)=O)C(*)=O)NC(C)=O,COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(CSSCC(NC(C)=O)C(C)=O)NC(C)=O,coverage,111.0,18.485951002195634,False
1090,PI1M,COc1ccc(C(C#CC(C)C)c2ccc(OC(=O)CCCCCCCCC(C)=O)cc2)cc1,COc1ccc(C(C#CC(C)C)c2ccc(OC(=O)CCCCCCCCC(C)=O)cc2)cc1,random,72.0,5.769622518212583,True
1091,PI1M,CC(C)=N[SH]=C,C=[SH]N=C(C)C,feature,15.0,0.08484152603281661,False
1092,PI1M,CSc1ccc(/C=N/c2ccc(C)cc2)cc1OC,COc1cc(/C=N/c2ccc(C)cc2)ccc1SC,random,36.0,0.8940806826961882,True
1093,PI1M,CCCCCCCCCNC(=O)c1ccc(C(=O)NCCCCCN2CCN(C)CC2)cc1,CCCCCCCCCNC(=O)c1ccc(C(=O)NCCCCCN2CCN(C)CC2)cc1,random,79.0,7.405252308862643,True
1094,PI1M,CCC(C)OCCOCCOCCOCCO,CCC(C)OCCOCCOCCOCCO,coverage,43.0,1.4419597242422257,False
1095,OMG,*Oc1cc(C(=O)OCC)c(OC(=O)c2cccc(F)c2CC(*)=O)cc1C(=O)OCC,CCOC(=O)c1cc(OC(=O)c2cccc(F)c2CC(C)=O)c(C(=O)OCC)cc1OC,coverage,55.0,2.7957518399460364,False
1096,OMG,*OC(C)CC(C)OC(=O)C(N)C(*)=O,COC(C)CC(C)OC(=O)C(N)C(C)=O,coverage,34.0,0.7666572932453927,False
1097,PI1M,COC(=O)c1cc(Cl)c(Cl)c(C)c1OI,COC(=O)c1cc(Cl)c(Cl)c(C)c1OI,dopt,22.0,0.23770591902308572,False
1098,PI1M,CNc1ccc(Sc2ccc(S(C)(=O)=O)cc2C)cc1,CNc1ccc(Sc2ccc(S(C)(=O)=O)cc2C)cc1,coverage,37.0,0.9624665003915307,False
1099,PI1M,CC(=O)CCCCCCCCCCC(=O)N(C)c1ccccc1,CC(=O)CCCCCCCCCCC(=O)N(C)c1ccccc1,coverage,54.0,2.6611061495015087,False
1100,PI1M,CCNC(=O)CCCCCCCCC(=O)NCC(=O)NC,CCNC(=O)CCCCCCCCC(=O)NCC(=O)NC,coverage,50.0,2.1634770685187323,False
1101,PI1M,COc1ccc(-n2on2-n2on2-c2ccc(OC(C)=O)c(C)c2)cc1OC,COc1ccc(-n2on2-n2on2-c2ccc(OC(C)=O)c(C)c2)cc1OC,dopt,45.0,1.629538578803666,False
1102,OMG,*NC(=S)c1ccc(C(=S)NC(=O)c2cc(C(*)=O)cc(S(=O)(=O)Cl)c2)o1,CNC(=S)c1ccc(C(=S)NC(=O)c2cc(C(C)=O)cc(S(=O)(=O)Cl)c2)o1,dopt,40.0,1.187037287474881,False
1103,PI1M,CCC(C)c1cc(C(=O)OC)ccc1C(=O)O,CCC(C)c1cc(C(=O)OC)ccc1C(=O)O,coverage,33.0,0.707498434008989,False
1104,omics,*C#Cc1cc(C)c(*)cc1C,CC#Cc1cc(C)c(C)cc1C,coverage,26.0,0.372564345698904,False
1105,PI1M,C/C=C/c1cc(OCCCCCCCCC)c(C)cc1OC,C/C=C/c1cc(OCCCCCCCCC)c(C)cc1OC,coverage,54.0,2.6611061495015087,False
1106,PI1M,COCCCCCOC(=O)NCCNCCCCCCSCCNC(=O)OCCCCCCOC(=O)SSC,COCCCCCOC(=O)NCCNCCCCCCSCCNC(=O)OCCCCCCOC(=O)SSC,random,90.0,10.515630927412102,True
1107,OMG,*Oc1ccc(OC(=O)CC2CS(=O)(=O)CC2CC(*)=O)c(C)c1C,COc1ccc(OC(=O)CC2CS(=O)(=O)CC2CC(C)=O)c(C)c1C,coverage,49.0,2.04904001620089,False
1108,OMG,*Nc1ccc(-c2ccc(NC(=O)C3CCC4(CCC(C(*)=O)CC4)CC3)cc2)cc1,CNc1ccc(-c2ccc(NC(=O)C3CCC4(CCC(C(C)=O)CC4)CC3)cc2)cc1,coverage,65.0,4.381874289318153,False
1109,OMG,*OC1CCCCC1COC(=O)C(S)CC(*)=O,COC1CCCCC1COC(=O)C(S)CC(C)=O,coverage,40.0,1.187037287474881,False
1110,omics,*CC(*)c1cc(OC(=O)c2ccc(-c3ccc(-c4ccc(C)cc4)c4nsnc34)cc2)ccc1OC(=O)c1ccc(CCCC)cc1,CCCCc1ccc(C(=O)Oc2ccc(OC(=O)c3ccc(-c4ccc(-c5ccc(C)cc5)c5nsnc45)cc3)cc2C(C)CC)cc1,dopt,86.0,9.30515942952161,False
1111,PolyInfo,*[Si](*)(CCCCCC)CCCCCC,CCCCCC[Si](C)(C)CCCCCC,coverage,47.0,1.8317500939966918,False
1112,OMG,*Oc1cc(Br)c(C2(OC(=O)c3cccnc3NCC(*)=O)CC2)cc1OC,COc1cc(Br)c(C2(OC(=O)c3cccnc3NCC(C)=O)CC2)cc1OC,random,49.0,2.04904001620089,True
1113,PI1M,CCC(c1ccccc1)C(C)c1ccc(O)cc1,CCC(c1ccccc1)C(C)c1ccc(O)cc1,coverage,38.0,1.0340483823546922,False
